S/N,Title,Images,Shelflist,Position,Author,Category,SubCategory,Publisher,Description,Tags
7949,Snoopy and friends,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Snoopy-and-friends.jpg,5-4,061,Charles M. Schulz,Sách truyện thiếu nhi,3-6 tuổi,Simon Spotlight,"Get to know the whole Peanuts gang in this sweet board book shaped like Snoopy’s doghouse!

The Peanuts gang bursts onto the big screen November 6, 2015 in an all new feature film from Twentieth Century Fox!

Snoopy, the world’s most famous dog, has lots of friends! There’s Woodstock, his feathery sidekick, the trusty Beagle Scouts, his owner, Charlie Brown, and so many more. Join Snoopy inside his doghouse and meet them all!",3-6 tuổi
7950,Snoopy and friends,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Snoopy-and-friends.jpg,5-4,062,Charles M. Schulz,Sách truyện thiếu nhi,3-6 tuổi,Simon Spotlight,"Get to know the whole Peanuts gang in this sweet board book shaped like Snoopy’s doghouse!

The Peanuts gang bursts onto the big screen November 6, 2015 in an all new feature film from Twentieth Century Fox!

Snoopy, the world’s most famous dog, has lots of friends! There’s Woodstock, his feathery sidekick, the trusty Beagle Scouts, his owner, Charlie Brown, and so many more. Join Snoopy inside his doghouse and meet them all!",3-6 tuổi
7951,Snoopy and friends,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Snoopy-and-friends.jpg,5-4,063,Charles M. Schulz,Sách truyện thiếu nhi,3-6 tuổi,Simon Spotlight,"Get to know the whole Peanuts gang in this sweet board book shaped like Snoopy’s doghouse!

The Peanuts gang bursts onto the big screen November 6, 2015 in an all new feature film from Twentieth Century Fox!

Snoopy, the world’s most famous dog, has lots of friends! There’s Woodstock, his feathery sidekick, the trusty Beagle Scouts, his owner, Charlie Brown, and so many more. Join Snoopy inside his doghouse and meet them all!",3-6 tuổi
7962,Snow games,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/snow-games.jpg,5-1,035,Anastasia Suen,Sách truyện thiếu nhi,3-6 tuổi,Stone Arch Books,"Robot and Rico use sleds, skiis, tubes, and more to enjoy the new snow.",3-6 tuổi
7981,Soccer song,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Soccer-song.jpg,5-3,041,Patricia Reilly Giff,Sách truyện thiếu nhi,3-6 tuổi,HOUGHTON MIFFLIN,"Jill has long arms and strong hands. And when it comes to playing soccer, she knows how to use her head!",3-6 tuổi
8080,Splat the cat sings flat,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Splat-the-cat-sings-flat.jpg,6-2,040,Rob Scotton,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"When Splat's teacher announces that the whole class is going to sing for their parents on Parents' Night, Splat is worried: he's afraid to speak in public, much less sing in public!

In fact, he's so nervous he can't even manage a simple ""meow."" What will it take for Splat to overcome his stage fright and make his parents proud?",3-6 tuổi
8081,Splat the cat sings flat,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Splat-the-cat-sings-flat.jpg,6-4,040,Rob Scotton,Sách truyện thiếu nhi,3-6 tuổi,HarperCollins,"When Splat's teacher announces that the whole class is going to sing for their parents on Parents' Night, Splat is worried: he's afraid to speak in public, much less sing in public!

In fact, he's so nervous he can't even manage a simple ""meow."" What will it take for Splat to overcome his stage fright and make his parents proud?",3-6 tuổi
8607,The ball book,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-ball-book.jpg,6-3,006,Margaret Hillert,Sách truyện thiếu nhi,3-6 tuổi,Modern Curriculum Press,People play a variety of games involving balls on the big ball that is Earth.,3-6 tuổi
8647,The Berenstain Bears and mama for mayor,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-Berenstain-Bears-and-mama-for-mayor.jpg,5-1,034,Jan Berenstain,Sách truyện thiếu nhi,3-6 tuổi,HARPERCOLLINS,"When Mama Bear runs for mayor on a platform that resolves to fix roads, clean trash and replace broken streetlights, her campaign is compromised by Bear County voters who argue that she cannot fulfill her promises.",3-6 tuổi
8723,The bookstore ghost,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-bookstore-ghost.jpg,5-2,036,Barbara Maitland,Sách truyện thiếu nhi,3-6 tuổi,Scholastic,"This easy-to-read ghost story is just the thing for future mystery lovers. Mr. Brown has a bookstore full of spooky ghost books. But even though he has a cat, he also has mice in his store. No customers will come in, and Mr. Brown gives his cat an order: Get rid of the miceor else. Mr. Brown's ingenious and kindhearted cat comes up with a spectacular plan that just might work--with a little help from some ghost-mice. The text in this funny mystery is lively, and the big, full-color pictures by popular illustrator Nadine Bernard Westcott are sweetly amusing and sly. For Halloween or any time, this is a great beginning reader for kids who love ghost stories. Barbara Maitland is the author of The Bear Who Didn't Like Honey. Nadine Bernard Westcott is the creator of over thirty picture books; she also designs a popular line of greeting cards.",3-6 tuổi
8781,The case of the climbing cat,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-case-of-the-climbing-cat.jpg,5-2,047,Cynthia Rylant,Sách truyện thiếu nhi,3-6 tuổi,Greenwillow Books,"Deep in the heart of the city. . .

Miss Nancy saw somebody run off with her binoculars. . .Where did the thief go? And will she get her binoculars back?

This sounds like a case for the High-Rise Private Eyes--Case #002, to be exact, The Case of the Climbing Cat

Because no mystery is too mysterious, no puzzle to puzzling, no crime too criminal, no trouble too troubling for ace detectives and very best friends Bunny Brown and Jack Jones.",3-6 tuổi
8789,The case of the puzzling possum,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-case-of-the-puzzling-possum.jpg,5-2,046,Cynthia Rylant,Sách truyện thiếu nhi,3-6 tuổi,Greenwillow Books,"The Beat Goes On

One day, the trombone is missing from Mr. Riley's music store. The next day, it's back. Then it's gone again. Who could be taking it -- and why?

This sounds like a case for the High-Rise Private Eyes -- Bunny Brown and Jack Jones, ace detectives and very best friends!",3-6 tuổi
8793,The cat food mystery,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-cat-food-mystery.jpg,5-1,036,Gwendolyn Hooks,Sách truyện thiếu nhi,3-6 tuổi,Stone Arch Books,"When Kayla discovers that something is eating Daisy's cat food, she immediately calls the Pet Club to action. They grab their pets and start to gather clues. Will they solve the case of the cat food thief?",3-6 tuổi
8809,The chicken and the egg,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/the-chicken-and-the-egg.jpg,4-5,021,Allan Plenderleith,Sách truyện thiếu nhi,3-6 tuổi,Plendy Publishing Ltd,"A beautiful picture book for children by Allan Plenderleith, the author of The Smelly Sprout, The Boy Giant and Princess Chocolate.",3-6 tuổi
9194,The hare and the tortoise with the sick lion,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-hare-and-the-tortoise-with-the-sick-lion.jpg,4-2,028,Val Biro,Sách truyện thiếu nhi,3-6 tuổi,Award Publications Ltd,"Designed to build reading confidence, this series, features large, clear, simple text, reinforced by Val Biro's humorous illustrations. Each book contains two stories. For ages 4 and up. Features large type.",3-6 tuổi
9254,The important things,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-important-things.jpg,5-3,019,Peter Carnavas,Sách truyện thiếu nhi,3-6 tuổi, Children's Publishing House,"Christopher’s father has faded from his life, so his mum gives all of the father’s old things to a secondhand store.  When the things start to reappear in the house, Christopher’s mum discovers a secret about her son. An insightful and perceptive story about remembering a father.",3-6 tuổi
9255,The important things,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-important-things.jpg,5-3,020,Peter Carnavas,Sách truyện thiếu nhi,3-6 tuổi, Children's Publishing House,"Christopher’s father has faded from his life, so his mum gives all of the father’s old things to a secondhand store.  When the things start to reappear in the house, Christopher’s mum discovers a secret about her son. An insightful and perceptive story about remembering a father.",3-6 tuổi
9256,The important things,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-important-things.jpg,6-2,016,Peter Carnavas,Sách truyện thiếu nhi,3-6 tuổi, Children's Publishing House,"Christopher’s father has faded from his life, so his mum gives all of the father’s old things to a secondhand store.  When the things start to reappear in the house, Christopher’s mum discovers a secret about her son. An insightful and perceptive story about remembering a father.",3-6 tuổi
9317,The lazy scarecrow,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-lazy-scarecrow.jpg,4-2,046,Jillian Powell,Sách truyện thiếu nhi,3-6 tuổi,Picture Window Books,"After allowing the birds to eat all the seeds in his field, a lazy scarecrow realizes the consequences of his behavior when summer comes and the field is bare.",3-6 tuổi
9318,The leaves fall all around,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-leaves-fall-all-around.jpg,6-3,053,Steve Mack,Sách truyện thiếu nhi,3-6 tuổi,Scholastic,"Rookie Preschool books are bursting with alliteration, repetition, and singalong fun that encourages emergent readers to participate in the storytelling. Each book includes suggested activities linked to the story and its theme.",3-6 tuổi
9360,The little little girl with the big big voice,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-little-little-girl-with-the-big-big-voice.jpg,4-3,044,Kristen Balouch,Sách truyện thiếu nhi,3-6 tuổi,Little Simon,"In this vibrantly illustrated picture book, one loud little girl looks for a friend to play with. She searches the jungle high and low for a pal but her BIG voice scares all the animals away! One by one, an elephant, a snake and a croc quickly retreat away from her booming vocals, until at last she finds the perfect playmate-whose ""roar"" is even louder than hers!",3-6 tuổi
9371,The little red hen,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/the-little-red-hen.jpg,4-3,058,Vera Southgate,Sách truyện thiếu nhi,3-6 tuổi,Ladybird,"Fairy stories and traditional tales have a special place in the life of every child. Trust Ladybird to bring you all the best-loved titles in our famous small, hard-wearing format. This tale of The Little Red Hen is perfect for reading aloud, or for older, more confident readers to read by themselves. ",3-6 tuổi
9393,The loopy coop hens,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-loopy-coop-hens.jpg,6-2,002,Janet Morgan Stoeke,Sách truyện thiếu nhi,3-6 tuổi,Dutton Books for Young Readers,"Midge, Pip, and Dot are the hens of Loopy Coop Farm. They want to fly like Rooster Sam, but they just can't seem to do it, even though they try and try. With its surprise ending, short and punchy text, and Stoeke's hilariously expressive pictures, this is a story kids will want to return to again and again.",3-6 tuổi
9394,The loopy coop hens,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-loopy-coop-hens.jpg,6-2,003,Janet Morgan Stoeke,Sách truyện thiếu nhi,3-6 tuổi,Dutton Books for Young Readers,"Midge, Pip, and Dot are the hens of Loopy Coop Farm. They want to fly like Rooster Sam, but they just can't seem to do it, even though they try and try. With its surprise ending, short and punchy text, and Stoeke's hilariously expressive pictures, this is a story kids will want to return to again and again.",3-6 tuổi
9505,The monster returns,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-monster-returns.jpg,5-1,017,Peter McCarty,Sách truyện thiếu nhi,3-6 tuổi,Henry Holt and Co,"Jeremy thought he'd seen the last of his monster when he sent him away with a one-way bus ticket. But suddenly there's a knock on the door . . . and the monster has returned!
Jeremy tries to decide what to do. Is it possible that the monster is in need of a friend?
Peter McCarty brings his popular monster back in style, with a sequel that will have kids drawing their own little monsters in no time.",3-6 tuổi
9506,The monster returns,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-monster-returns.jpg,6-2,013,Peter McCarty,Sách truyện thiếu nhi,3-6 tuổi,Henry Holt and Co,"Jeremy thought he'd seen the last of his monster when he sent him away with a one-way bus ticket. But suddenly there's a knock on the door . . . and the monster has returned!
Jeremy tries to decide what to do. Is it possible that the monster is in need of a friend?
Peter McCarty brings his popular monster back in style, with a sequel that will have kids drawing their own little monsters in no time.",3-6 tuổi
9571,The newt in the suit,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-newt-in-the-suit.jpg,6-2,001,Margaret Chamberlain,Sách truyện thiếu nhi,3-6 tuổi,Hachette Children's Group,"There's one newt in a suit, and he's looking very dapper. He's joined by two snazzy-looking flies in ties, three cockatoos in high-heeled shoes, and so on up to ten. This is a counting book with lots of well-dressed animals going about their business.

What's not to love about bees in dungarees or bats in top hats? Everything's vibrant and colourful. It draws you in, and will have you poring over every page.",3-6 tuổi
9651,The pet wash,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-pet-wash.jpg,5-4,034,Gwendolyn Hooks,Sách truyện thiếu nhi,3-6 tuổi,Stone Arch Books,"Jake wants to buy a gift for his teacher, but he doesn't have any money. Jake calls the Pet Club into action, and they have a pet wash to earn some money. Will they raise enough money to buy Mr. Carter a present?",3-6 tuổi
9716,The Rainbow Fish puzzle book,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-Rainbow-Fish-puzzle-book.jpg,4-5,014,Marcus Pfister,Sách truyện thiếu nhi,3-6 tuổi,NorthSouth Books,"Children will love putting the Rainbow Fish puzzles together on each spread. When they are finished, they can take the puzzles out and put them all together on the floor to form a big underwater scene with Rainbow Fish and all of his friends.
 
Each full-color puzzle has sturdy board pieces that fit right inside the pages of the book—so they’re fun to put together and easy to keep together! The 36 puzzle pieces are perfect for preschool hands.",3-6 tuổi
10368,"Tickle, tickle, itch, twitch",https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Tickle-tickle-itch-twitch.jpg,4-3,021,Julie Olson,Sách truyện thiếu nhi,Age 7 - 9 ,Two Lions,"When a feather lands in Mouse’s paws, he has an idea for some wily fun! He sneaks up on Gus the groundhog and...TICKLE, TICKLE! ITCH, TWITCH! Gus has GOTTA GOTTA scratch his back. And that’s just the beginning of one itchy problem after another. Follow Gus as he tries hopelessly to scratch his back with a snake, a porcupine, and an alligator. Cheerful illustrations rendered in watercolor and digital media add to this groundhog’s preposterous predicament.",3-6 tuổi
10421,Titchy Witch and the get-better spell,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Titchy-Witch-and-the-get-better-spell.jpg,18-4,048,Rose Impey,Sách truyện thiếu nhi,3-6 tuổi,Orchard Books,"When Titchy-witch's mum has the witchy-flu, Cat-a-bogus makes a big pot of Get-Better Soup. But Titchy-witch thinks a Get-Better Spell will do more good!",3-6 tuổi
10422,Titchy Witch and the magic party,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Titchy-Witch-and-the-magic-party.jpg,18-4,050,Rose Impey,Sách truyện thiếu nhi,3-6 tuổi,Orchard Books ,"Titchy-witch is having her first party, but it isn't going very well ...until she starts to wave her magic wand!",3-6 tuổi
10424,Titchy Witch and the teacher-charming spell,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Titchy-Witch-and-the-teacher-charming-spell.jpg,5-4,051,Rose Impey,Sách truyện thiếu nhi,3-6 tuổi,Orchard Books ,"Titchy-witch is desperate to be a pirate in the class production of Peter Pan, but there's no way her teacher will let her now that she's in trouble again. With the help of a little bit of magic, Titchy-witch manages to charm her teacher - a little too well! Can Titchy-witch find a way to reverse the spell and score her dream role?",3-6 tuổi
10453,Tom's haircut,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Tom_s-haircut.jpg,4-4,024,Gill Munton,Sách truyện thiếu nhi,3-6 tuổi,Macmillan Education,"Systematic, clearly defined and structured book by book progression of phonics teaching.",3-6 tuổi
10558,Trick or treat,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Trick-or-treat.jpg,4-4,049,Leo Landry,Sách truyện thiếu nhi,3-6 tuổi,HMH Books for Young Readers,"“The last day of October had finally arrived. The empty house at the end of the street mysteriously came to life.” Oliver, the ghost who lives in that empty house, lives for Halloween! He always has a big party. To get ready, he puts dust on the furniture, welcomes the spiders, wakes up the black cats, and delivers his invitations! This time, though, one envelope goes astray and two human trick-or-treaters show up. Are treats—or tricks—in order? Simple, cartoonish watercolor and pencil illustrations complement this sweet tale of the spirit of generosity and acceptance.",3-6 tuổi
10672,Upsy down town,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/upsy-down-town.jpg,5-2,060,Beth Shoshan,Sách truyện thiếu nhi,3-6 tuổi,Meadowside Children's Books,"In Upsy Down Town, the sky is in the sea and the fish are in the air where the birds should be. Visit an amazing and magical world, where nothing is quite as it should be.",3-6 tuổi
10745,Wake me in spring,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Wake-me-in-spring.jpg,6-2,034,James Preller,Sách truyện thiếu nhi,3-6 tuổi,Cartwheel,Bear is getting very sleepy. But Mouse thinks Bear should stay awake for winter!,3-6 tuổi
10937,What little boys are made of,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/What-little-boys-are-made-of.jpg,6-1,005,Robert Neubecker,Sách truyện thiếu nhi,3-6 tuổi,Balzer + Bray,"What are little boys made of?

Moons and stars and rockets to Mars

Wings and tails and dragons with scales

Little boys are . . . as adventuresome and bold and heroic as they imagine they can be!

Celebrate the exuberance of little boys in this playful spin on a classic nursery rhyme.",3-6 tuổi
10965,What's bugging Pamela,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/What_s-bugging-Pamela.jpg,6-2,048,Michael Dahl,Sách truyện thiếu nhi,3-6 tuổi,Picture Window Books,Pamela the rhinoceros is always angry until a strange bird lands on her back and refuses to leave.,3-6 tuổi
11055,Where's my mommy?,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Where_s-my-mommy.jpg,4-2,013,Carol Roth,Sách truyện thiếu nhi,3-6 tuổi,NorthSouth Books,"When sleepy little kitty wakes from her nap, she can't find her mommy.  She asks the barn animals for help.  Her new friends are happy to help.  ""Moo!"" says the calf.  ""Oink!"" sys the pig.  ""Quack!"" says the duck.  After all, that's how they call their mommies.  Poor little kitty's mommy is nowhere to be found...until kitty tries one more thing.",3-6 tuổi
11056,Where's my mommy?,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Where_s-my-mommy.jpg,4-3,013,Carol Roth,Sách truyện thiếu nhi,3-6 tuổi,NorthSouth Books,"When sleepy little kitty wakes from her nap, she can't find her mommy.  She asks the barn animals for help.  Her new friends are happy to help.  ""Moo!"" says the calf.  ""Oink!"" sys the pig.  ""Quack!"" says the duck.  After all, that's how they call their mommies.  Poor little kitty's mommy is nowhere to be found...until kitty tries one more thing.",3-6 tuổi
11062,Where's Teddy?,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Where_s-Teddy.jpg,5-2,038,Roger Priddy,Sách truyện thiếu nhi,3-6 tuổi,Priddy Books,"Preschoolers will love to read about the adventures of Gabe, Teddy and Wallace the dog. In Where's Teddy?, Teddy goes missing and Gabe and Wallace try to find him. Where did he go and will the three best friends ever be reunited? With charming illustrations and simple sentences, this book is ideal for developing an interest in books and reading.",3-6 tuổi
11106,Who said coo?,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Who-said-coo.jpg,6-1,009,Deborah Ruddell,Sách truyện thiếu nhi,3-6 tuổi,Beach Lane Books,"Lulu is one seriously sleepy pig. But every time she snuggles in her cozy bed, she’s disturbed by the noises of two naughty birds outside her window. Whoooooo…Coooooo….Lulu must find a way to get her wide-awake pals to pipe down. But as her frustration grows, will she be able to ask them nicely?Brimming with pitch-perfect rhymes, fun-to-say animal noises, and heaps of humor, this book is a delightful read-aloud that’s perfect for bedtime—or anytime!",3-6 tuổi
11123,Who's who?,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Who_s-who.jpg,4-2,012,Ken Geist,Sách truyện thiếu nhi,3-6 tuổi,Feiwel & Friends,"Over in these pages
where it's hard to tell who's who,
live six pairs of twins
who are the best at what they do.

""Laugh!"" say the twins.
""We laugh!"" So will you.

And you'll giggle as you read
while you try to tell who's who.",3-6 tuổi
11204,"Windows, rings, and grapes: a look at different shapes",https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Windows-rings-and-grapes-a-look-at-different-shapes.jpg,6-2,024,Brian Cleary,Sách truyện thiếu nhi,3-6 tuổi,Lerner Publishing,"In this humorous look at shapes, Brian P. Cleary and Brian Gable introduce circles, ovals, triangles, squares, and rectangles.",3-6 tuổi
11352,Yojojo's happy happy song,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Yojojo_s-happy-happy-song.jpg,6-1,046,Egmont,Sách truyện thiếu nhi,3-6 tuổi,Egmont Books,"When Yojojo decides he wants to give something special to his Pipling friends, he doesn't know quite what to do.

He soon discovers he had the answer all along! Press the sweet sounds and join in with this Waybuloo story.",3-6 tuổi
11432,Za-Za's baby brother,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Za-Za_s-baby-brother.jpg,4-5,006,Lucy Cousins,Sách truyện thiếu nhi,3-6 tuổi,Walker & Company,"A bright and irresistible picture book about the effect of a new arrival on family life, from the creator of Maisy. When Za-za gets a baby brother, all is not well in the zebra household. When Mum returns from hospital, she's tired, and Za-za is looked after by Granny. When the new baby arrives, it gets all the attention from visitors and Mum and Dad. They're so busy that there's no time for toys or stories. Za-za, feeling neglected, demands a cuddle from Mum. Why don't you cuddle the baby? says Mum. And Za-za does, and enjoys it! When the baby goes to bed, Za-za finally gets the attention she wants and is read a bedtime story.",3-6 tuổi
11463,Zorro gets an outfit,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Zorro-gets-an-outfit.jpg,6-1,024,Carter Goodrich,Sách truyện thiếu nhi,3-6 tuổi,Simon & Schuster Books for Young Readers,"Fashion goes to the dogs in this lovable follow-up to Say Hello to Zorro!

Mister Bud and Zorro get along just great. They wake up together, have walk time together, and take naps together. But something is about to interrupt their schedule: Zorro has to wear a fancy outfit.
     Zorro is embarassed, mortified, aghast. Mr. Bud tries to cheer him up, but nothing works. Everyone makes fun of Zorro, and he refuses to participate in chew-on-a-stick time. Mister Bud doesn’t know what to do.
     But when another dog—a very cool dog—shows up in an outfit and does amazing tricks and beats all the other dogs in a race, Zorro discovers that wearing clothes might not be so bad after all.
     Everything is back on schedule.",3-6 tuổi
6443,Now it is summer,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/Now-it-is-summer.jpg,12-4,003,Eileen Spinelli,Sách truyện thiếu nhi,Age 7 - 9 ,Eerdmans Books for Young Readers,"As a young mouse eagerly looks forward to everything that autumn will bring — friends at school, fallen leaves to play in, pumpkins to carve — his mother gently encourages him to join in all the summery joys that surround him right now — dancing fireflies, sunny beaches, peaches fresh from the orchard. In this delightful tale, a follow-up to her book Now It Is Winter, Eileen Spinelli reminds readers of all ages that they can be content in the moment and find happiness wherever they are. Children are sure to love Mary Newell DePalma's soft and whimsical paintings of mice celebrating summer.",Age 7 - 9 
9767,The sand castle contest,https://lotuscommunity.org.vn/wp-content/uploads/2021/05/The-sand-castle-contest.jpg,17-2,086,Robert Munsch,Sách truyện thiếu nhi,Age 7 - 9 ,Cartwheel Books,"Bestselling team Robert Munsch and Michael Martchenko create another wacky adventure about a boy named Matthew who makes a sandcastle so real, that every

While on vacation. Matthew is excited to take part in the local sandcastle contest. The winner gets a bathtub filled with ice cream!

But Matthew is just too good at building sand castles. The judges all think the house he builds, complete with sand chairs, a sand refrigerator, and sand food is real! He has to prove that it's all just a big pile of sand so he can win that ice cream!",Age 7 - 9 